fips,county_name,pcp_rate_per_100k,pcp_ratio,mental_health_provider_rate_per_100k,mental_health_provider_ratio,dentist_rate_per_100k,dentist_ratio,uninsured_pct,preventable_hospitalization_rate,child_poverty_pct,life_expectancy_years,median_household_income,rural_pct,population,hpsa_active_count,hpsa_max_score,hpsa_underserved_population,heart_disease_pct,asthma_pct,depression_pct,diabetes_pct,fair_or_poor_health_pct,frequent_mental_distress_pct,high_blood_pressure_pct,no_physical_activity_pct,obesity_pct,annual_checkup_pct,heart_disease_pct_source_type,asthma_pct_source_type,depression_pct_source_type,diabetes_pct_source_type,fair_or_poor_health_pct_source_type,frequent_mental_distress_pct_source_type,high_blood_pressure_pct_source_type,no_physical_activity_pct_source_type,obesity_pct_source_type,annual_checkup_pct_source_type
48221,Hood,37.37037,2676:1,125.41683,797:1,54.23891999999999,1844:1,16.565541393,2326.0,11.9,76.034606035,82428,41.084126108,67774,0,,0.0,5.0,9.9,24.4,9.2,16.8,17.7,30.0,22.7,33.4,73.1,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48223,Hopkins,24.1864,4135:1,89.07052,1123:1,31.74267,3150:1,20.322538351,3067.0,18.7,73.990483242,61112,60.086443581,38172,1,16.0,8802.0,5.8,10.5,25.0,11.2,22.1,19.5,33.0,28.4,37.7,72.3,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48225,Houston,13.4886,7414:1,40.78673,2452:1,22.77904,4390:1,19.769448471,2825.0,28.2,72.548036774,52649,73.103417022,22066,1,13.0,7658.0,6.6,10.7,23.8,13.5,26.1,20.0,37.2,31.7,38.2,72.9,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48227,Howard,20.511020000000002,4875:1,229.10257000000001,436:1,53.45688,1871:1,19.8384571,2914.0,21.7,71.5529554,63398,16.939185313,30554,4,21.0,2200.0,6.1,9.5,22.0,13.1,25.0,18.2,33.8,31.9,38.2,71.7,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48229,Hudspeth,,,,,0.0,3432:0,25.628626692,,40.5,74.268479416,47693,100.0,3451,1,21.0,2619.0,7.8,8.9,19.8,17.4,34.8,18.4,37.7,40.1,41.1,70.4,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48231,Hunt,27.08088,3693:1,85.57792,1169:1,31.39949,3185:1,18.900569178,4436.0,17.1,74.14739822,70427,61.325983433,113347,2,21.0,30187.0,5.8,10.3,23.6,11.2,22.1,19.0,33.5,27.7,36.9,72.6,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48233,Hutchinson,24.39619,4099:1,44.925869999999996,2226:1,49.46822,2022:1,16.376476318,2549.0,16.9,70.978061031,64752,37.682495028,20033,1,12.0,4094.0,5.7,10.2,24.2,11.0,21.3,19.0,32.0,27.2,35.2,72.1,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48235,Irion,0.0,1552:0,,,0.0,1530:0,20.506535948,,9.8,,75689,100.0,1549,1,13.0,1432.0,5.2,9.8,23.9,10.3,19.1,18.0,31.0,24.8,35.0,72.0,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48237,Jack,34.43526,2904:1,22.53521,4438:1,,,22.300579846,3560.0,17.2,74.967815255,62721,100.0,8875,2,15.0,614.0,6.4,10.2,24.5,11.8,23.9,19.7,34.4,29.5,37.9,71.4,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48239,Jackson,13.22664,7561:1,32.84935,3044:1,39.62488,2524:1,19.803888703,4719.0,19.2,76.275650526,62026,60.568454764,15221,2,13.0,948.0,5.9,10.0,23.5,12.1,23.7,19.0,33.3,30.2,38.1,72.0,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
